lambda	alpha	fdr	power	theta	maf	depth
1.45	0.1	0.0965	1.0	2	0.5	50000
1.45	0.05	0.0472	1.0	2	0.5	50000
1.45	0.01	0.0064	1.0	2	0.5	50000
1.55	0.1	0.0952	1.0	2	0.1	50000
1.55	0.05	0.0449	0.9966	2	0.1	50000
1.7	0.01	0.0065	0.9079	2	0.1	50000
1.7	0.1	0.0835	0.945	2	0.05	50000
1.8	0.05	0.0413	0.843	2	0.05	50000
1.45	0.1	0.0957	1.0	2	0.5	10000
1.45	0.05	0.045	1.0	2	0.5	10000
1.45	0.01	0.0054	0.9993	2	0.5	10000
1.55	0.1	0.0945	0.996	2	0.1	10000
1.6	0.05	0.0346	0.9788	2	0.1	10000
1.65	0.01	0.0062	0.8905	2	0.1	10000
1.7	0.1	0.0857	0.9262	2	0.05	10000
1.75	0.05	0.0464	0.8411	2	0.05	10000
1.4	0.1	0.0886	0.9988	2	0.5	1000
1.4	0.05	0.032	0.9958	2	0.5	1000
1.35	0.01	0.0047	0.9702	2	0.5	1000
1.5	0.1	0.0819	0.9396	2	0.1	1000
1.45	0.05	0.0499	0.9044	2	0.1	1000
1.45	0.01	0.0098	0.7164	2	0.1	1000
1.6	0.1	0.0942	0.7686	2	0.05	1000
1.65	0.05	0.0482	0.5724	2	0.05	1000
1.9	0.01	0.0091	0.1313	2	0.05	1000
1.2	0.1	0.0683	0.5766	2	0.5	100
1.15	0.05	0.0497	0.484	2	0.5	100
1.15	0.01	0.0058	0.1538	2	0.5	100
1.35	0.1	0.0968	0.2574	2	0.1	100
1.5	0.05	0.0337	0.0631	2	0.1	100
1.4	0.01	0.0093	0.0212	2	0.1	100
1.5	0.1	0.0969	0.136	2	0.05	100
1.6	0.05	0.0461	0.0352	2	0.05	100
1.65	0.01	0.0	0.0038	2	0.05	100
1.6	0.1	0.0922	0.0433	2	0.01	100
1.55	0.05	0.0417	0.0161	2	0.01	100
1.35	0.01	0.0	0.0047	2	0.01	100
1.25	0.1	0.0939	0.9925	1.5	0.5	50000
1.3	0.05	0.0344	0.9186	1.5	0.5	50000
1.35	0.01	0.0088	0.7997	1.5	0.5	50000
1.45	0.1	0.0835	0.7218	1.5	0.1	50000
1.55	0.05	0.0435	0.5052	1.5	0.1	50000
1.85	0.01	0.0082	0.0966	1.5	0.1	50000
1.85	0.1	0.0977	0.255	1.5	0.05	50000
1.3	0.1	0.0519	0.9435	1.5	0.5	10000
1.3	0.05	0.0308	0.9045	1.5	0.5	10000
